id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
137,"Some kinds of deadly bacteria, including those that cause tetanus, tuberculosis, and botulism, remain _______ until something triggers their insidious activity.",harmless,innocuous,anomalous,aberrant,efficacious,undetectable,harmless,innocuous,harmless,innocuous
138,"Titan, Saturn’s largest moon, looks surprisingly _______, even though it is a cold, dimly lit world made from unknown materials.",habitable,familiar,forbidding,placid,daunting,recognizable,familiar,recognizable,familiar,recognizable
139,"Historically, the depletion of soil’s nitrogen has been one of the most _______ problems faced by farmers: an essential nutrient, nitrogen is quickly leached from soil, and farmers have struggled to find ways to replenish it.",capricious,ubiquitous,worrisome,stubborn,intractable,unpredictable,stubborn,intractable,stubborn,intractable
140,"Although men still dominate the ranks of full professors in the field of astronomy, the increasing numbers of younger women in the field could _______ a change in its gender mix.",require,alleviate,block,presage,portend,hinder,presage,portend,presage,portend
141,"An apparent paradox led the scientists to pursue their present line of research. They were struck by the fact that a single mathematics formula can be used to describe physical phenomena that appear to be so _______.",rudimentary,interdependent,interrelated,complex,heterogeneous,dissimilar,heterogeneous,dissimilar,heterogeneous,dissimilar
142,"In ways large and small, millions of people are taking active steps to _______ the medical mainstream, whether by taking herbal remedies for disease or by placing their hopes for a cure in alternative treatment.",augment,sidestep,support,vilify,circumvent,endorse,sidestep,circumvent,sidestep,circumvent
143,"Although its gray text blocks and black-and-white illustrations give it a sober mien, this one-stop resource can take the place of a dozen less _______ texts.",exhaustive,interesting,appealing,original,educational,comprehensive,exhaustive,comprehensive,exhaustive,comprehensive
144,"The media have constantly disparaged the governor’s competence and have found a public only too eager to applaud their _______.",assiduousness,stupefaction,mockery,incredulity,certitude,derision,mockery,derision,mockery,derision
145,"The _______ of ophthalmology as a field in the United States from 1820 to 1850 is evident in the opening of at least five eye hospitals during this period, offering new venues for ophthalmic treatment and experimentation.",sophistication,retrenchment,burgeoning,resurgence,curtailment,expansion,burgeoning,expansion,burgeoning,expansion
146,"Circulatory systems in organisms originated in widely separated epochs, according to the fossil record, and under a broad range of circumstances; the myriad forms they take attest to that _______ of origin.",mysteriousness,randomness,ambiguity,heterogeneity,indeterminacy,diversity,heterogeneity,diversity,heterogeneity,diversity
147,"Compared to their predecessors, who were more nationalist than feminist in political orientation, Roman women activists of the younger generation are more inclined to _______ women’s rights, often creating organizations focused primarily on women’s issues.",expand,de-emphasize,champion,idealize,downplay,defend,champion,defend,champion,defend
148,"Individuals, governments, and companies show ample ability to _______ themselves by setting goals based on current conditions and then blindly following them even when those conditions change drastically.",hamstring,reinvent,promote,revitalize,impair,invigorate,hamstring,impair,hamstring,impair
149,"The performer can be _______ in his comedy, but he is fundamentally a bighearted person who displays a core sweetness even at his most manic.",inflammatory,pedestrian,gloomy,uninspired,puerile,provocative,inflammatory,provocative,inflammatory,provocative
150,"The ambassador’s critical remarks seemed to be less a product of _______ and more the careless utterances of a fatigued or undisciplined individual.",intensity,optimism,purposefulness,design,confidence,caution,purposefulness,design,purposefulness,design
151,"The cat known to researchers as M-120—beefy, audacious, and apparently smart enough to spot a free lunch—is perhaps the world’s least _______ lynx: the scientists catch him several times a year.",intelligent,evasive,fearless,furtive,elusive,intrepid,evasive,elusive,evasive,elusive
152,"While normal floods resulting from usual monsoon rainfall are _______ the growth of crops, recently there has been an increase in the frequency of high-intensity floods that do not have such welcome effects.",conducive to,hindered by,devastating for,deleterious for,essential for,indispensable to,conducive to,essential for,conducive,essential
153,"The difficulty of reforming electoral politics is not lack of the right tools but the need to put them into the hands of impartial agents: the goal should be to build capacity while _______ partisanship.",expediting,constraining,facilitating,deterring,exacerbating,lamenting,constraining,deterring,constrain,deter
154,"That guild of experts has always appraised the economic stimulation plan as bootless, while the advocates of the policy do not take their _______ evaluation for granted.",tendentious,meticulous,detracting,indifferent,ubiquitous,deprecatory,detracting,deprecatory,detracting,deprecatory
155,"In noting that critical and popular opinions about Li’s art coincided, Chuang _______ the existence of an exception to her general theory of art criticism, which posits that critics’ views do not intersect with those of the general public.",asserted,conceded,acknowledged,doubted,pondered,questioned,conceded,acknowledged,concede,acknowledge
156,"Shifting Fortunes takes a conventional approach to American union history by simply explaining the reasons behind union growth and decline in the nineteenth and twentieth centuries: it is a chronologically and thematically _______ study and nothing more.",complicated,confined,multifarious,onerous,circumscribed,taxing,confined,circumscribed,confine,circumscribe
